id,question,chat_history,expected_answer,expected_sources
28,Ich habe meinen Schluessel verloren. Was soll ich tun?,[],Melde den Verlust sofort. Laut FAQ wird aus Sicherheitsgruenden ein kostenpflichtiger Schlosstausch von etwa EUR 245 vorgenommen. Ausserhalb der Oeffnungszeiten sollst du an emergency@viennabase.at schreiben.,faq | Heimstatut.pdf
29,Ich habe nur meinen Chip verloren,"[{""role"": ""user"", ""content"": ""Ich habe meinen Schluessel verloren. Was soll ich tun?""}, {""role"": ""assistant"", ""content"": ""Ein Schluesselverlust ist leider teuer. Bitte pass kuenftig besonders darauf auf.\n\nWenn du deinen Schluessel verloren hast, muessen wir aus Sicherheitsgruenden einen kostenpflichtigen Schlosstausch durchfuehren, der ca. EUR 200,- kostet. Melde dich bitte umgehend bei uns.\n\nAusserhalb unserer Oeffnungszeiten sende bitte ein E-Mail an emergency@viennabase.at und nenne:\n\n• deinen Namen\n• deine Viennabase\n• deine Zimmernummer\n• eine Telefonnummer, unter der wir dich erreichen koennen""}]",Melde den Verlust des Chips sofort der Heimverwaltung. Weitere Details oder konkrete Kosten nur fuer einen verlorenen Chip nennen die Quellen nicht.,Heimstatut.pdf
30,Wo bekomme ich einen neuen Schluessel?,[],no context,
31,Ich moechte frueher einziehen. Geht das?,[],Ein Einzug vor Vertragsbeginn ist nur nach Ruecksprache moeglich. Es koennen zusaetzliche Kosten anfallen.,faq
32,Wie oft duerfen Freunde bei mir uebernachten?,[],Freunde duerfen nicht bei dir uebernachten. Es gilt ein Uebernachtungsverbot.,faq | Heimstatut.pdf
33,Darf ich eine Klimaanlage in mein Zimmer stellen?,[],Eine Klimaanlage ist nur in Ausnahmefaellen mit vorheriger schriftlicher Zustimmung der Heimleitung und gegen Aufpreis moeglich.,Heimstatut.pdf
34,Werden die Zimmer gereinigt?,[],"Die Bewohnerinnen und Bewohner muessen ihre Zimmer grundsaetzlich selbst reinigen. Wenn Zimmerreinigung im Benutzungsentgelt enthalten ist, muss dem Reinigungspersonal Zutritt gemaess Reinigungsplan gewaehrt werden.",Heimstatut.pdf
35,Es wurde yoghurt in der Stockwerkskueche gestohlen. Was soll ich tun?,[],no context,
36,wie alt muss ich sein damit ich mich um einen heimplatz bewerben kann?,[],"Die Quellen sind nicht einheitlich: Die FAQ sagt, es gibt keine Altersbeschraenkung. Die Aufnahmerichtlinien sagen aber, dass reguläre Bewerberinnen und Bewerber hoechstens 30 Jahre alt sein duerfen.",faq | Aufnahmerichtlinien.pdf
37,Gibt es eine Altersgrenze?,"[{""role"": ""user"", ""content"": ""wie alt muss ich sein damit ich mich um einen heimplatz bewerben kann?""}, {""role"": ""assistant"", ""content"": ""Aus den verfuegbaren Informationen geht kein Mindestalter fuer die Bewerbung um einen Heimplatz bei Viennabase hervor.\\n\\nWas die Quellen sagen:\\n\\n• Fuer einen regulaeren Heimplatz musst du Student*in sein.\\n• Fuer die Vergabe werden die Foerderkriterien gemaess Studienfoerderungsgesetz herangezogen.\\n• Bei Studienanfaenger*innen dient das Maturazeugnis als Anspruchsnachweis.\\n\\nEin konkretes Alter wird aber nicht genannt. Wenn du moechtest, kann ich dir helfen, die Frage fuer das Viennabase-Buero oder die Heimleitung kurz zu formulieren.""}]","Die Quellen sind nicht einheitlich: Die FAQ sagt, es gibt keine Altersbeschraenkung. Die Aufnahmerichtlinien sagen aber, dass regulaere Bewerberinnen und Bewerber hoechstens 30 Jahre alt sein duerfen.",faq | Aufnahmerichtlinien.pdf
38,Kann ich mit einer Freundin gemeinsam wohnen?,[],Es gibt eine Zimmerkategorie 'Studio Apartment couple' mit einem Doppelbett. Weitere Bedingungen fuer gemeinsames Wohnen stehen in den vorliegenden Quellen nicht.,Heimstatut.pdf
39,Wo und wann bekomme ich den Meldezettel?,[],Den Meldezettel bekommst du bei der Schluesselabholung. Danach musst du dich innerhalb von drei Tagen beim Meldeamt anmelden.,faq
40,Wie ist die Adresse der viennabase22?,[],"Die Adresse der Viennabase22 ist Adelheid-Popp-Gasse 24, 1220 Wien.",Heimstatut.pdf
41,Und viennabase11?,"[{""role"": ""user"", ""content"": ""Wie ist die Adresse der viennabase22?""}, {""role"": ""assistant"", ""content"": ""Die verfuegbare Quelle nennt keine Adresse fuer die viennabase22.\\nIch konnte in den vorliegenden Informationen nur die Adresse von Viennabasedonau finden:\\n\\nKaisermuehlenstrasse 14, 1220 Wien\\n\\nWenn du moechtest, kann ich dir auch helfen, die richtige Adresse anhand weiterer Informationen einzugrenzen.""}]","Die Adresse der Viennabase11 ist Medwedweg 3, 1110 Wien.",Heimstatut.pdf
42,Und viennabase3?,[],no context,
43,Wann ist der Haustechniker da?,[],Schadensbehebungen durch die Haustechnikerinnen und Haustechniker finden waehrend der ueblichen Dienstzeiten statt. Fuer technische Notfaelle ausserhalb der Telefonzeiten wird emergency@viennabase.at laut FAQ zu bestimmten Zeiten geprueft.,faq | Heimstatut.pdf
44,Wie hoch ist die Kaution?,[],Die Kaution entspricht immer zwei monatlichen Benutzungsentgelten.,faq | AGBs.pdf | Heimstatut.pdf
45,Kann ich sie auch mit Kreditkarte bezahlen?,"[{""role"": ""user"", ""content"": ""Wie hoch ist die Kaution?""}, {""role"": ""assistant"", ""content"": ""Die Kaution betraegt immer 2 monatliche Benutzungsentgelte. Der genaue Betrag haengt also von deinem Zimmer bzw. der jeweiligen Viennabase ab.""}]",no context,
46,Bis wann muss ich die Miete bezahlen?,[],Das monatliche Benutzungsentgelt ist spaetestens bis zum 5. des Monats faellig. In der Regel wird es per SEPA um den 5. des Monats vom Konto eingezogen.,faq | AGBs.pdf | Heimstatut.pdf
47,Kann ich auch mit Kreditkarte zahlen?,"[{""role"": ""user"", ""content"": ""Bis wann muss ich die Miete bezahlen?""}, {""role"": ""assistant"", ""content"": ""Die monatliche Miete bzw. das Benutzungsentgelt wird automatisch um den 5. des Monats von deinem Konto abgezogen. Bitte achte also darauf, dass zu Monatsbeginn genug Geld auf dem Konto ist.\\n\\nFalls noch kein SEPA-Mandat vorliegt, musst du selbststaendig puenktlich bis zum 5. des Monats ueberweisen.""}]",no context,
48,Wann bekomme ich meine Kaution zurueck?,[],Die Kaution bekommst du nach dem Auszug und nach dem Ende deines Vertrags auf dein Konto ueberwiesen.,faq | AGBs.pdf
49,Und wie lange dauert es?,"[{""role"": ""user"", ""content"": ""Wann bekomme ich meine Kaution zurueck?""}, {""role"": ""assistant"", ""content"": ""Deine Kaution bekommst du nach Auszug und nach Ende deines Vertrages auf dein Konto ueberwiesen.\\n\\nFalls Schaeden in deinem Zimmer/deiner Wohnung festgestellt werden, kann sich die Rueckzahlung verzoegern. Bitte sende dafuer deine Bankdaten und die Abmeldebestaetigung (Meldeamt) ueber deinen mybase-Bereich.""}]",no context,
50,Ich brauche dringend eine Bestaetigung fuer die Ma35,[],no context,
51,Eine Bestaetigung fuer das Visa,[],no context,
52,Wie teuer ist ein Feueralarm?,[],Es gibt keinen festen Betrag in den vorliegenden Quellen. Ausgeloeste Feuer- und Taeuschungsalarme werden in der tatsaechlich anfallenden Hoehe dem Verursacher verrechnet.,faq | Heimstatut.pdf
53,Darf ich im Zimmer rauchen?,[],Nein. Im gesamten Gebaeude gilt Rauchverbot. Rauchen ist nur in ausgewiesenen Raucherzonen bzw. im Aussenbereich bei den Aschenbechern erlaubt.,faq | Heimstatut.pdf
54,Darf ich in meinem Zimmer Poster an die wand haengen?,[],"Nein. An den Waenden darf nichts angebracht werden, auch nicht mit Tixo. Nur vorhandene Pinnwaende duerfen benutzt werden.",Heimstatut.pdf
55,Kann der Haustechniker kommen?,[],Ja. Die Behebung von Schaeden kann durch die Haustechnikerinnen und Haustechniker ohne Terminvereinbarung und auch ohne deine Anwesenheit erfolgen. Sie findet waehrend der ueblichen Dienstzeiten statt.,Heimstatut.pdf
56,Darf ich in den Ferien mein Zimmer vermieten?,[],Nein. Die Ueberlassung oder Nutzung deines Zimmers durch Dritte ist ausdruecklich untersagt und kann zur ausserordentlichen Kuendigung fuehren.,Heimstatut.pdf
57,Meine Dusche ist verstopft. Was soll ich tun?,[],"Melde den Schaden ueber deinen mybase-Bereich, damit keine Folgeschaeden entstehen und sich der Haustechniker darum kuemmert.",faq | Heimstatut.pdf
58,Es tropft Wasser von der Decke. Was soll ich tun?,[],"Wenn es ein dringender technischer Notfall ist, sollst du ausserhalb der Telefonzeiten an emergency@viennabase.at schreiben und Beschreibung, Namen, Viennabase mit Zimmernummer und Telefonnummer senden. Sonst melde den Schaden ueber mybase.",faq | Heimstatut.pdf
59,Ich moechte am Samstag den Grill im Garten nutzen. Muss ich ihn reservieren?,[],no context,
60,Wie kann ich einen Schaden melden?,[],Melde den Schaden ueber deinen mybase-Bereich.,faq | Heimstatut.pdf
61,Kann ich einen Termin vereinbaren?,"[{""role"": ""user"", ""content"": ""Wie kann ich einen Schaden melden?""}, {""role"": ""assistant"", ""content"": ""Bitte informiere uns ueber deinen mybase-Bereich. So koennen wir Folgeschaeden vermeiden, und unser Haustechniker kuemmert sich schnellstmoeglich darum.\\n\\nWenn der Schaden schon beim Einzug da war: Bitte ebenfalls ueber mybase melden und am besten Fotos machen.""}]",no context,
62,Einen Termin fuer die Reparatur meinte ich,"[{""role"": ""user"", ""content"": ""Wie kann ich einen Schaden melden?""}, {""role"": ""assistant"", ""content"": ""Bitte informiere uns ueber deinen mybase-Bereich. So koennen wir Folgeschaeden vermeiden, und unser Haustechniker kuemmert sich schnellstmoeglich darum.\\n\\nWenn der Schaden schon beim Einzug da war: Bitte ebenfalls ueber mybase melden und am besten Fotos machen.""}, {""role"": ""user"", ""content"": ""Kann ich einen Termin vereinbaren?""}, {""role"": ""assistant"", ""content"": ""Ja, ein Einzug vor Vertragsbeginn ist nur nach Ruecksprache moeglich. Ob und wie genau dafuer ein Termin vereinbart werden kann, geht aus den verfuegbaren Quellen nicht eindeutig hervor.\\n\\nWenn du magst, kann ich dir helfen, die Frage genauer einzuordnen:\\n\\n• meinst du einen frueheren Einzugstermin?\\n• oder einen Termin zur Wohnungsuebergabe / Besichtigung?""}]",no context,
63,Mein wifi funktioniert nicht. Es soll ich tun?,[],"Wenn dein WLAN nicht funktioniert, schreibe an support@viennabase.at und nenne deinen Namen, die Zimmernummer, Kontaktdaten und eine genaue Beschreibung des Problems.",faq
64,Wann wird meine Miete vom Konto abgebucht?,[],Die Miete bzw. das Benutzungsentgelt wird in der Regel um den 5. des Monats vom Konto abgebucht.,faq | AGBs.pdf
65,Warum habe ich eine Mahnung erhalten?,[],"Eine Mahnung kann kommen, wenn die Lastschrift nicht erfolgreich war oder das Benutzungsentgelt nicht rechtzeitig bezahlt wurde.",AGBs.pdf
66,Kann ich mein Zimmer vor Einzug besichtigen?,[],no context,
67,Kann ich ein Zimmer mieten auch wenn ich nicht studiere?,[],"Ja, aber nur eingeschraenkt. Die FAQ sagt, Nicht-Studierende koennen als Gastplatz aufgenommen werden, wenn Plaetze frei sind. Die Aufnahmerichtlinien erlauben Gastplaetze an Nicht-Studierende nur in den Sommermonaten Juli, August und September oder bei kurzfristigen Leerstaenden nach individueller Pruefung.",faq | Aufnahmerichtlinien.pdf
68,Warum muss ich eine Anmeldegebuehr bezahlen?,[],Die Anmeldegebuehr wird fuer den administrativen Aufwand der Bearbeitung verlangt und ist nicht refundierbar.,faq | AGBs.pdf | Heimstatut.pdf
69,Und kostet die Vertragsverlaengerung etwas?,"[{""role"": ""user"", ""content"": ""Warum muss ich eine Anmeldegebuehr bezahlen?""}, {""role"": ""assistant"", ""content"": ""Die Anmeldegebuehr wird verlangt, weil bei der Pruefung deiner Bewerbung administrativer Aufwand entsteht. Sie dient dazu, diese Kosten abzudecken. Die Gebuehr ist nur einmal direkt bei der Bewerbung fuer das Zimmer zu bezahlen und wird nicht refundiert.""}]",Ja. Bei einer Vertragsverlaengerung ist eine Buchungsgebuehr bzw. Bearbeitungsgebuehr faellig.,faq | AGBs.pdf
70,Bis wann muss ich meinen Vertrag verlaengern?,[],Fuer das naechste Studienjahr musst du die Verlaengerung spaetestens bis 15. Maerz beantragen.,faq | AGBs.pdf | Heimstatut.pdf
71,Was ist wenn ich die Frist verpasst habe?,"[{""role"": ""user"", ""content"": ""Bis wann muss ich meinen Vertrag verlaengern?""}, {""role"": ""assistant"", ""content"": ""Du musst die Verlaengerung bis spaetestens 15. Maerz des laufenden Studienjahres beantragen bzw. schriftlich bekannt geben.\\n\\nLaut den Angaben gilt:\\n\\n• Antrag auf Verlaengerung vor dem 15.3.\\n• ueber dein mybase-Bereich kannst du die Verlaengerung beantragen\\n\\nWenn du moechtest, kann ich dir auch kurz sagen, wie du die Verlaengerung beantragst.""}]",no context,
72,Muss ich mich jedes Jahr nur anmelden?,[],"Nein. Dein Benutzungsvertrag gilt fuer ein Studienjahr, kann aber jaehrlich verlaengert werden, solange du studierst.",faq
73,Kann ich meinen Vertrag jederzeit kuendigen?,[],Nein. Eine Kuendigung ist laut Quellen nur zu bestimmten Terminen und mit Fristen moeglich.,faq | AGBs.pdf
74,Wieviel bekomme ich von meiner Kaution zurueck?,[],"Du bekommst die Kaution nicht unbedingt voll zurueck. Die Endreinigungsgebuehr, offene Forderungen und gegebenenfalls Schaeden werden von der Kaution abgezogen.",faq | Heimstatut.pdf
75,"Kann ich einen Staubsauger ausleihen? Wenn ja, wo bekomme ich ihn?",[],no context,
76,Was soll ich tun wenn meine Heizung nicht funktioniert?,[],Melde das Problem ueber deinen mybase-Bereich. Bei einem dringenden technischen Notfall ausserhalb der Telefonzeiten kannst du an emergency@viennabase.at schreiben.,faq | Heimstatut.pdf
77,Gibt es eine Nachtruhe?,[],Ja. Nachtruhe ist von 22:00 bis 6:00 Uhr.,faq | Heimstatut.pdf
78,Was tun wenn jemand zu laut ist?,[],no context,
79,Laute Musik in der Nacht,"[{""role"": ""user"", ""content"": ""Was tun wenn jemand zu laut ist?""}, {""role"": ""assistant"", ""content"": ""Waehrend der Nachtruhe von 22:00 bis 6:00 Uhr soll man sich ruhig verhalten und Ruecksicht auf andere nehmen.\\n\\nWenn jemand zu laut ist, geben die verfuegbaren Informationen keine genaue Anleitung, was man in diesem Fall konkret tun soll. Bitte sag mir kurz, ob es um eine Situation in der Nacht oder tagsueber geht, dann kann ich es genauer einordnen.""}]","Laute Musik in der Nacht ist nicht erlaubt. Nachtruhe ist von 22:00 bis 6:00 Uhr, und Musizieren in Zimmern ist generell nicht gestattet.",faq | Heimstatut.pdf
80,Was muss ich bei einem Feueralarm tun?,[],no context,
